"Date","Permit Number","Permit Type","Description","Address","Status","Short Notes",
"01/30/2018","PREPLN18-0003","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - ADD 69 SF ROOM TO MAIN LEVEL, ADD 580 SQUARE FOOT ADDITION TO SECOND LEVEL ABOVE GARAGE, NEW ROOF OVER ENTIRE STRUCTURE","1235 HAWTHORNE ST, ALAMEDA CA 94501","Closed",,
"01/24/2018","PREPLN18-0002","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION - NEW TWO STORY ADDITION AT FRONT OF EXISTING BUILDING THAT INCLUDES NEW TWO CAR ATTACHED GARAGE. NEW DRIVEWAY FOR NEW GARAGE. REMOVE PREVIOUSLY APPROVED NEW DRIVEWAY AND PARKING LOCATED AT REAR OF PROPERTY.","1541 FOUNTAIN ST, ALAMEDA CA 94501","Closed",,
"01/22/2018","PREPLN18-0001","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - REMOVE TWO EXISTING WINDOWS ON FRONT ELEVATION WITH NEW BAY WINDOWS","2910 MARINA DR, ALAMEDA CA 94501","Closed",,
"10/11/2017","PREPLN17-0014","Planning/Pre-Application/NA/NA","PRE-APPLICATION - PRELIMINARY REVIEW OF ACCESSORY DWELLING UNIT IN COMBINATION WITH ADDITION TO MAIN HOUSE","3257 FILLMORE ST, ALAMEDA CA 94501","Closed",,
"10/05/2017","PREPLN17-0013","Planning/Pre-Application/NA/NA","PRE-APPLICATION FOR USE PERMIT - USE PERMIT TO ALLOW OUTDOOR ACTIVITIES FOR AN EXISTING PRESCHOOL","3189 MECARTNEY RD, ALAMEDA CA 94502","Closed",,
"09/28/2017","PREPLN17-0012","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - CONVERT EXISTING GARAGE TO ACCESSORY DWELLING UNIT, ADD NEW GARAGE AT FRONT ELEVATION OF EXISTING SFD","2071 SAN ANTONIO AVE, ALAMEDA CA 94501","Closed",,
"09/11/2017","PREPLN17-0011","Planning/Pre-Application/NA/NA","PRE-APPLICATION - EXTERIOR MODIFICATIONS TO EXISTING POOLHOUSE","1214 ST CHARLES ST, ALAMEDA CA 94501","Closed",,
"08/15/2017","PREPLN17-0010","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REVIEW THE CONSTRUCTION OF 4 15,000 SF 3 STORY MIXED-USE BUILDINGS","0 MARINER SQUARE, ALAMEDA CA 94501","Closed",,
"07/24/2017","PREPLN17-0009","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REVIEW OF PROPOSED FIRST FLOOR ADDITION AND ALTERATION OF FRONT ELEVATION","1350 HANSEN AVE, ALAMEDA CA 94501","Closed",,
"04/10/2017","PREPLN17-0008","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW - TWO STORY ADDITON TO SFD","1711 CORNELL DR, ALAMEDA CA 94501","Closed",,
"03/30/2017","PREPLN17-0007","Planning/Pre-Application/NA/NA","PREAPPLICATION REVIEW - 267 UNIT HOUSING DEVELOPMENT WITH 40,000 SF COMMUNITY OFFICES","0 MAIN ST, ALAMEDA CA 94501","Closed",,
"03/01/2017","PREPLN17-0006","Planning/Pre-Application/NA/NA","PRE-APPLICATION - COMPLETE REMODEL OF TWO UNIT DWELLING, REMOVE ONE DWELLING","2231 SAN JOSE AVE, ALAMEDA CA 94501","Closed",,
"02/28/2017","PREPLN17-0005","Planning/Pre-Application/NA/NA","PRE APPLICATION - PRELIM REVIEW FOR EXTERIOR MODIFICATIONS TO EXISTING DUPLEX THAT IS BEING CONVERTED TO A SINGLE FAMILY RESIDENCE.  EXTERIOR MODIFICATIONS INCLUDE EXPANSION OF DORMERS AND REDESIGN OF ROOF OVER 256 SQUARE FOOT PORTION OF THE BUILDING.","2231 SAN JOSE AVE, ALAMEDA CA 94501","Closed",,
"02/06/2017","PREPLN17-0004","Planning/Pre-Application/NA/NA","RESTORE EXISTING 4 UNIT COMPLEX","1822 BAY ST, ALAMEDA CA 94501","Closed",,
"01/30/2017","PREPLN17-0003","Planning/Pre-Application/NA/NA","PRELIM REVIEW APPLICATION FOR NEW HOLIDAY EXPRESS BUILDING AT 1825 PARK STREET","1825 PARK ST, ALAMEDA CA 94501","Closed",,
"01/30/2017","PREPLN17-0002","Planning/Pre-Application/NA/NA","PRE-APPLICATION - PROPOSAL TO CONSTRUCT 2 NEW DWELLING UNITS OVER AN EXISTING RETAIL BUILDING IN THE C-C ZONING DISTRICT","1445 WEBSTER ST, ALAMEDA CA 94501","Closed",,
"01/18/2017","PREPLN17-0001","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - PROPOSED TWO STORY ADDITION ON EXISTING SINGLE STORY SFR, INCLUDES DEMOLITION OF EXISTING DETACHED GARAGE","1611 PARU ST, ALAMEDA CA 94501","Closed",,
"12/28/2016","PREPLN16-0016","Planning/Pre-Application/NA/NA","PRE-APPLICATION - FACADE IMPROVEMENTS TO STREET FRONTAGE OF AN EXISTING APARTMENT COMPLEX","470 CENTRAL AVE, ALAMEDA CA 94501","Closed",,
"10/31/2016","PREPLN16-0015","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW FOR A 200-ROOM, FOUR-STORY HOTEL WITH 7,000 SF OF MEETING SPACE, RESTAURANT, FITNESS CENTER, DAY SPA, POOL, PED/BIKE PATH AND FITNESS TRAIL, AND HOSPITALITY DECK.","1042 BALLENA BLVD, ALAMEDA CA 94501 United States","Closed",,
"09/01/2016","PREPLN16-0014","Planning/Pre-Application/NA/NA","PRE-APPLICATION - DEMOLISH EXISTING BUILDING 1251 MCKAY, RETAIN 1253 MCKAY(REAR BLDG), AND CONSTRUCT SERVICE YARD PARKING AND PARK EXPANSION.","1251 MCKAY AVE, ALAMEDA CA 94501","Closed",,
"08/16/2016","PREPLN16-0013","Planning/Pre-Application/NA/NA","PRE-APPLICATION DESIGN REVIEW - 741 SQUARE FEET ADDITION TO TWO UNITS IN A FOUR UNIT COMPLEX AT THE REAR ELEVATION, ADD AN ATTACHED ONE CAR GARAGE, RECONFIGURE EXISTING GARAGE TO ACCOMMODATE THREE CARS","815 LINCOLN AVE, ALAMEDA CA 94501 United States","Closed",,
"08/10/2016","PREPLN16-0012","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REVIEW PROPOSED MIXED USE DEVELOPMENT, 4 NEW BUILDINGS WITH A MIX OF OFFICE SPACES AND 4 NEW DWELLING UNITS","1117 LINCOLN AVE, ALAMEDA CA","Closed",,
"07/13/2016","PREPLN16-0011","Planning/Pre-Application/NA/NA","PRE-APPLICATION - PRE-APPLICATION TO DETERMINE DATE OF CONSTRUCTION AND WHETHER PROJECT REQUIRES HAB REVIEW PRIOR TO ISSUING A DEMOLITION PERMIT TO THE REAR STRUCTURE REFERRED TO AS 3359 1/2 FERNSIDE BLVD IN MICROFICHE RECORDS","3359 FERNSIDE BLVD, ALAMEDA CA 94501 United States","Closed",,
"07/11/2016","PREPLN16-0010","Planning/Pre-Application/NA/NA","PRE-APPLICATION - NEW DRIVEWAY AND FRONT LOADING SINGLE CAR GARAGE","1237 BROADWAY, ALAMEDA CA 94501 United States","Void",,
"07/06/2016","PREPLN16-0009","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REVIEW OF POTENTIAL USE PERMIT TO ALLOW PRIVATE TUTORING BUSINESS IN C-C-T ZONE","2534 SANTA CLARA AVE, ALAMEDA CA 94501 United States","Void",,
"06/23/2016","PREPLN16-0008","Planning/Pre-Application/NA/NA","PRE-APPLICATION MEETING -","2414 LINCOLN, ALAMEDA CA 94501","Closed",,
